geneSymbol	healthy	V2	V3	V4	V5	disease	V7	V8	V9	V10
MYO1F	0.8083845870941442	1.0509508073283602	1.8060079994959055	1.475916831178225	-0.553815814008061	3.282123249070626	4.1525392141499715	3.664740383937068	3.8315848937912595	4.1857358144160575
EVI2B	1.27786075167343	2.150051763910204	1.965233533836833	2.1121172256281726	-0.18224130988111625	4.320438898187	4.666421036313847	4.469091970234042	4.90836412026385	5.262519382555066
FYB	1.702589477429097	3.1357313403644262	3.161318908090774	3.781025588963831	0.6217876777457841	6.925132648119167	7.670745599234744	7.4036542978910775	7.73051426806631	7.905751393957722
CXCL2	-1.3455085686648278	-0.4245666903822279	-0.35389228713945586	0.06233290188154592	-2.146535810184127	2.26811301055386	3.698110404037002	2.644082282549875	3.1555082854475067	2.899023841876594
PSMB9	3.360930754193497	3.8267597980605115	3.459565306851856	3.921322978520227	2.5834143105039113	6.019217049047385	7.023409619584832	6.4852333520068095	6.189703560161333	7.387565082994247
ADGRE2	3.0786926380568937	3.3926891220276194	3.592406338620272	3.448549592050405	2.385624084501687	5.307040611089303	6.294621051536186	6.355386860099294	5.964775804138932	6.688020560596379
CPXM1	2.6664464770372276	3.9251814603088926	3.4273477125323764	3.052565208309505	0.8345331044596298	6.7156738666933675	7.7073227288793	6.81294426842463	6.526959375360223	6.18710902699517
C8orf4	1.9368555100368217	2.3006589333135774	1.8149967269133616	1.4456559441998031	0.8345284596192316	3.9113304914215847	4.2622919035310725	4.063029780355319	3.6832329612566803	3.945420012542937
ST8SIA4	2.8957349040825466	3.933594107017876	3.2499366807922647	3.7264675074452343	2.3191204441057955	7.221179079014887	7.3469383565914885	7.359768011973496	7.843026249396728	7.500050097590844
C1orf162	0.9318291306715925	1.8984326068606843	1.7866884971537584	1.9072436419776613	0.39140982859577206	5.523215454068911	5.647578802517906	6.0156054254888	5.760839971606259	5.384347022695342
MLKL	2.5425577181695043	3.092242664831261	2.749611754589807	3.436174681642585	2.0253420831011835	5.2036338701929905	5.529705171728895	5.818693067522782	5.521426849526979	5.547425389726707
NLRC4	-0.8172925520084883	0.4749147170200348	0.021961897544077673	-0.11959585730768484	-2.146535810184127	4.120125159100185	4.50848217663037	4.485100134391527	3.9332680240932025	4.237408807527529
GPR183	2.4445106461324464	3.256579850831843	3.1005128631740564	2.846896859480082	2.2922313132687857	5.7717862982460195	5.375113710876812	6.090087807055873	5.743893644919331	5.698132394178888
FCGR1A	-0.6879627726447135	1.3168998058310124	0.5196041258587027	-0.1215083237175886	-2.146535810184127	7.8840321319785955	7.714959379576811	8.673635474725666	8.634318379959964	7.912182982719813
RGS1	0.22599732787771468	0.9394204392073742	0.8585051518218283	0.6610486903896723	-0.4214430262460699	5.389549616993771	4.607031900508839	5.874193948428256	5.665759659304747	5.785821571792135
CLEC12A	0.24106332146015683	0.8798576937798372	1.1613019141981251	0.5220666712924613	-0.7545627688305668	4.958888289948259	4.777005588838089	5.519525204386517	5.580456107505565	5.760958789563939
TRAT1	-1.791176500483394	0.04446921029328606	-0.1864317412201482	-0.44723531086698604	-2.146535810184127	4.004263206281148	3.872551235879601	5.042011150781234	4.756401125723489	4.452178616718209
EVI2A	2.230370989011832	3.423332980552847	3.1889759183191093	3.0974466858394853	1.8142473535589179	6.0528497326337085	6.352585309500739	6.7070625189338875	6.511652650484066	6.760108081827191
TRAF3IP3	1.468240766016837	2.4456674941019805	2.541631366675233	2.0924295596625133	1.092740644132974	5.109716768019044	6.0378802601573875	6.4314477571145945	6.559115466225603	5.8304202445952376
GBP1P1	-1.0362167194500023	-0.5227154037043491	-0.05033556546382931	-0.7393050692347406	-2.146535810184127	3.673621287975908	3.9558647388345	5.5722353723202245	5.081641043458532	4.411719442874898
TLR1	4.008069295997993	4.415339449786645	4.593594446422083	4.600168540432443	3.0860899377668956	7.4924794450057	7.936243199809364	8.369654519946446	8.421668573917325	8.063367016958034
PTPN22	1.9808682113426512	2.5010387429678556	2.996960209727611	2.981463400251481	1.0280008547590316	5.448815962053264	5.914145635803823	6.368830881238808	6.444851070053822	5.892978727990456
PITPNC1	2.895036959874241	3.048183867344845	3.2527667647006604	3.4434432040508938	2.752608037775852	5.412569873475119	5.525079263617862	5.581658720052063	5.881908901481229	5.57987607812584
CD72	0.37283282925162575	0.7163581812934554	1.0301230205951426	1.0789975008434443	0.21460358841498053	4.700257119431316	5.0962000353528945	5.103889378252004	5.737625052996465	5.47941861181726
SH2B3	4.126932437992636	4.56025882595344	4.622766954771932	4.756794971622687	4.246816583665357	6.759903760227625	7.23692351068338	6.956022784459455	7.053758766748968	6.970720513733156
KLHL6	2.3404992192638954	2.827033964837431	3.1953948130259424	2.692007223423245	2.2563120856266314	6.070623530230222	6.25821129140054	6.117900248321678	6.34084671903389	6.521812062888355
BATF2	-1.2677999790467946	-1.20764761713745	-0.7397671388477983	-0.39196671202730915	-2.146535810184127	3.868259844661384	4.652509018003781	5.13206830606219	5.243557414090732	4.999407012776632
ADAM19	2.597315099715879	2.595940781266256	3.184057313298794	3.2061259856733964	1.743107418681619	6.193580106534621	6.918784683624288	6.880638720567534	6.99376248132493	6.613860641544111
IRAK3	4.463413362491355	4.939872981939035	5.125433579318911	5.076794830084771	4.312974264564448	6.688929621878005	7.230839958768376	7.187729911317205	7.141394650919747	7.257955568586856
TNFSF13	2.723551504387361	3.20539588079614	3.2256328076895326	3.7906366201366555	2.1462724459586147	6.339690721296168	6.3259544453949195	5.863697386098335	6.633528331355141	6.6673776714039334
